Categoria,Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta correcta
Ciencia,Unidad anatómica fundamental de los organismos vivos ,átomo ,célula ,organelo ,tejido ,B
Ciencia,Organelo encargado de producir la mayor parte de la energía de la célula y cuentan con su propio material genético ,ribosoma ,retículo endoplasmico rugoso ,nucleo,mitocondria ,D
Ciencia,Padre de la teoría evolutiva Biológica mediante la selección natural ,Isaac Newton ,Albert Einstein ,Charles Darwin ,Nicolás Copérnico ,C
Ciencia,Célula que no presenta en su interior ningun organelo ,procariota ,eucariota ,animal ,vegetal ,A
Ciencia,¿Cuántos huesos tiene el ser humano? ,203,215,206,300,C
Ciencia,"Ley que establece que todo cuerpo tiende a mantener su estado de reposo o movimiento, hasta que una fuerza externa cambie esa situación ",Ley de la inercia ,Ley de acción y reacción ,Ley de la aceleración ,Ninguna de las anteriores ,A
Ciencia,Organelo fundamental que contiene los cromosomas ,mitocondria ,ribosoma ,lisosoma ,nucleo,D
Ciencia,No es una función del sistema nervioso: ,Transmitir impulsos nerviosos,Realizar el intercambio gaseoso,Controla el funcionamiento de órganos vitales ,Recibe y procesa infromación que viene tanto del interior del cuerpo como del exterior ,B
Ciencia,Ambientes formados por factores bióticos y abióticos: ,habitat ,nicho ,ecosistema,ecología ,C
Ciencia,"Son la base de las cadenas y redes alimentarias, obtienen sus nutrientes de la materia orgánica y energía solar ",descomponedores ,consumidores ,productores ,Ninguna de las anteriores ,C
Lectura ,"¿Que significa ""Embriones de las ideas"" en el siguiente texto? : “Las palabras son los embriones de las ideas. Según qué palabras utilicemos así formaremos nuestro pensamiento”",Ideas pequeñas,Conexiones de las ideas,La manera en que crecen las ideas,El elemento que genera a las ideas,D
Lectura ,"Selecciona el nexo que falta: Con el Renacimiento se augura una nueva etapa en la Historia del Arte, no sólo en Italia, sino en Europa entera __ aquel momento, el arte europeo ofrece una extraordinaria cohesión. ",para,hasta,desde ,en ,C
Lectura ,"Selecciona el sinónimo de la palabra ""acogedora"" en el siguiente texto: ""La  casa  de  mi  abuelo  es  en  verdad  acogedora.  El  brillo  de  sus  pisos  de  madera  se  interrumpe  con  el colorido y la textura de tapetes traídos de Persia. Las paredes son un mosaico de obras de arte en el que se  entreteje la maestría de los pintores de siglos pasados y años recientes""",confortable,calurosa,antigua,interesante,A
Lectura ,"Complete el siguiente fragmento con una oración impersonal típica: ""La semana pasada intentamos visitar el volcán Barva, pero...""",hubo fuertes vientos y aguaceros,llovió desmedidamente en esa zona,anunciaron en las noticias fuertes lluvias,decidimos postergar nuestro viaje por el peligro inminente,B
Lectura ,"Complete el fragmentosiguiente como una oración pasiva con se: ""En ese momento, se...""",sintió muy contento,despidieron sin decir palabra,irrespetó a los mayores de edad,hicieron públicas las nuevas leyes educativas,D
Lectura ,"¿Cuál opción completa el siguiente fragmento como una oración yuxtapuesta? : ""El sol empezaba a calentar...""",cuando abandonamos el sendero,y los pájaros cantaban alegremente,aunque la nieve permanecía intacta,fuertemente; decidí marcharme luego,A
Lectura ,"Complete el siguiente fragmento para formar una oración subordinada sustantiva: ""Los padres ...""",rogaban que los ayudaran,"ni se presentan, ni se comunican",o no se han enterado o no les importa,"piensan analizar la prueba, mientras llega el resultado",B
Lectura ,Sinonimo de Osado ,malcriado ,arrogante ,valiente ,mentiroso,C 
Lectura ,Sinónimo de nimiedad,Bagatela.,Torpeza.,Angustia.,Miedo,A
Lectura ,Sinónimo de divulgar,Dividir,Difundir,Duplicar,Desdichado,B
